Text,Income,Credit_Score,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I need a loan to pay for an international vacation with my family.,26556,581,8314,79.26,employed,Rejected
I want to make home improvements like installing solar panels.,197392,389,111604,22.14,employed,Rejected
"I need a loan for home renovation, including a kitchen remodel.",44561,523,34118,45.44,employed,Rejected
I need funds to buy new furniture and appliances for my house.,190363,729,118757,10.22,unemployed,Rejected
I need a loan to start a small business.,61853,732,19210,44.13,employed,Approved
I need a loan to repair my car after an accident.,108236,404,50797,10.24,employed,Rejected
I need financial help to cover maternity and delivery expenses.,110165,570,61217,7.12,employed,Approved
I need money to open a small bookstore and café.,40656,600,21267,113.63,unemployed,Rejected
I need a loan to install a security system at home.,38233,346,8467,126.42,unemployed,Rejected
I need a loan to cover emergency expenses after a natural disaster.,81024,403,19217,36.92,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,62638,679,14730,45.15,unemployed,Rejected
I need money to purchase updated equipment for my photography business.,179680,475,65175,22.26,employed,Rejected
I want to start a small roadside food stall and need funds for equipment.,119471,576,91198,39.29,employed,Rejected
I want to pay off my payday loans and switch to a lower-interest option.,34663,534,27379,20.49,unemployed,Rejected
I need a loan to pay for legal fees related to my business license.,90186,367,42245,20.87,employed,Rejected
I need financial support to pay for my son's football training program.,123712,769,35718,11.61,employed,Approved
I need money to pay for a vocational training course in plumbing.,167159,569,113311,25.91,unemployed,Rejected
I need a loan to pay for a much-needed vacation after years of saving.,77493,441,33343,49.54,employed,Rejected
"I need financial help to cover wedding expenses, including the venue and catering.",48743,456,11484,94.62,unemployed,Rejected
I want to expand my small online clothing store.,120864,690,62348,36.45,unemployed,Rejected
I want to consolidate my credit card debts into one manageable payment.,198332,417,141763,25.05,unemployed,Rejected
I need a loan to support my side business selling handmade candles.,49242,600,11365,68.02,unemployed,Rejected
I need a loan to start a small business.,89045,812,67542,18.76,employed,Rejected
I need money to purchase a food truck and start my own business.,187496,819,53143,23.95,employed,Approved
I need a loan to pay for my son's medical treatment and therapy.,62349,843,40252,8.08,unemployed,Rejected
I need a loan to buy a truck and start a moving business.,25105,414,11076,114.67,employed,Rejected
I need a loan to relocate to a new city after getting a job offer.,83143,380,48966,12.76,unemployed,Rejected
I want to expand my small online clothing store.,159645,428,87474,8.4,unemployed,Rejected
I need funds to stock inventory for my new retail store.,89483,840,56461,50.01,employed,Rejected
I need money to launch my own tech startup focused on AI solutions.,72730,619,45019,42.83,unemployed,Rejected
I need a loan to pay for a down payment on my first home.,155679,762,33493,8.31,employed,Approved
I want to expand my small online clothing store.,108627,321,73603,40.1,employed,Rejected
I need a loan to pay off overdue electricity and water bills.,21885,372,2929,211.83,employed,Rejected
I want to expand my small online clothing store.,28234,638,17847,34.15,employed,Rejected
I need funds to upgrade my computer and buy software for freelance work.,195368,797,142356,9.75,employed,Rejected
I need money to purchase specialized tools for my auto repair shop.,83700,784,25957,37.85,employed,Approved
I need money to refinance my home loan at a lower interest rate.,192748,741,112038,14.64,unemployed,Rejected
